"","Age","Attrition","BusinessTravel","Department","DistanceFromHome","Education","EducationField","Gender","JobLevel","JobRole","MaritalStatus","MonthlyIncome","NumCompaniesWorked","PercentSalaryHike","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","YearsAtCompany","YearsSinceLastPromotion","YearsWithCurrManager","EnvironmentSatisfaction","JobSatisfaction","WorkLifeBalance","JobInvolvement","PerformanceRating","AvgHrs"
"1",51,"Stayed","Travel-Rarely","Sales",6,"College","Life Sciences","Female","1","Healthcare Representative","Married",131160,1,11,"0",1,6,1,0,0,"High","Very High","Good","High","Excellent",7.37
"2",31,"Left","Travel-Frequently","Research & Development",10,"Below College","Life Sciences","Female","1","Research Scientist","Single",41890,0,23,"1",6,3,5,1,4,"High","Medium","Best","Medium","Outstanding",7.72
"3",32,"Stayed","Travel-Frequently","Research & Development",17,"Master","Other","Male","4","Sales Executive","Married",193280,1,15,"3",5,2,5,0,3,"Medium","Medium","Bad","High","Excellent",7.01
"4",38,"Stayed","Non-Travel","Research & Development",2,"Doctor","Life Sciences","Male","3","Human Resources","Married",83210,3,11,"3",13,5,8,7,5,"Very High","Very High","Better","Medium","Excellent",7.19
"5",32,"Stayed","Travel-Rarely","Research & Development",10,"Below College","Medical","Male","1","Sales Executive","Single",23420,4,12,"2",9,2,6,0,4,"Very High","Low","Better","High","Excellent",8.01
"6",46,"Stayed","Travel-Rarely","Research & Development",8,"Bachelor","Life Sciences","Female","4","Research Director","Married",40710,3,13,"0",28,5,7,7,7,"High","Medium","Good","High","Excellent",10.8
"7",28,"Left","Travel-Rarely","Research & Development",11,"College","Medical","Male","2","Sales Executive","Single",58130,2,20,"1",5,2,0,0,0,"Low","High","Bad","High","Outstanding",6.92
"8",29,"Stayed","Travel-Rarely","Research & Development",18,"Bachelor","Life Sciences","Male","2","Sales Executive","Married",31430,2,22,"3",10,2,0,0,0,"Low","Medium","Better","High","Outstanding",6.73
"9",31,"Stayed","Travel-Rarely","Research & Development",1,"Bachelor","Life Sciences","Male","3","Laboratory Technician","Married",20440,0,21,"0",10,2,9,7,8,"Medium","Very High","Better","High","Outstanding",7.24
"10",25,"Stayed","Non-Travel","Research & Development",7,"Master","Medical","Female","4","Laboratory Technician","Divorced",134640,1,13,"1",6,2,6,1,5,"Medium","Low","Better","High","Excellent",7.08
"11",45,"Stayed","Travel-Rarely","Research & Development",17,"College","Medical","Male","2","Laboratory Technician","Married",79910,0,13,"2",21,2,20,4,10,"High","Very High","Better","Medium","Excellent",8.4
"12",36,"Stayed","Travel-Rarely","Research & Development",28,"Below College","Life Sciences","Male","1","Laboratory Technician","Married",33770,0,12,"2",16,2,15,10,11,"N/A","Very High","Better","High","Excellent",7.07
"13",55,"Stayed","Travel-Rarely","Research & Development",14,"Master","Life Sciences","Female","1","Sales Executive","Single",55380,0,17,"0",37,2,36,4,13,"Very High","Low","Better","High","Excellent",9.3
"14",47,"Left","Non-Travel","Research & Development",1,"Below College","Medical","Male","1","Research Scientist","Married",57620,1,11,"2",10,4,10,9,9,"Low","Medium","Good","Medium","Excellent",9.4
"15",28,"Stayed","Travel-Rarely","Research & Development",1,"Bachelor","Life Sciences","Male","1","Manufacturing Director","Married",25920,1,14,"0",5,2,5,0,4,"Very High","Very High","Good","High","Excellent",6.09
"16",37,"Stayed","Travel-Rarely","Research & Development",1,"Bachelor","Life Sciences","Male","2","Healthcare Representative","Married",53460,4,11,"0",7,2,5,0,1,"High","Very High","Best","High","Excellent",6.71
"17",21,"Stayed","Travel-Rarely","Research & Development",3,"College","Life Sciences","Male","1","Laboratory Technician","Single",42130,1,12,"3",3,3,3,1,0,"Very High","High","Best","Medium","Excellent",6.62
"18",37,"Stayed","Non-Travel","Research & Development",1,"Bachelor","Medical","Male","2","Sales Executive","Divorced",41270,2,13,"1",15,2,5,0,2,"Low","Very High","Better","High","Excellent",11.01
"19",35,"Stayed","Travel-Rarely","Sales",7,"Master","Life Sciences","Male","1","Sales Representative","Divorced",24380,7,16,"0",10,5,7,6,2,"Medium","Medium","Good","Medium","Excellent",6.96
"20",38,"Stayed","Travel-Rarely","Research & Development",8,"Bachelor","Life Sciences","Female","1","Manager","Divorced",68700,1,11,"1",8,5,8,7,7,"Low","Low","Better","High","Excellent",9.29
"21",26,"Stayed","Travel-Frequently","Research & Development",1,"Master","Other","Male","2","Laboratory Technician","Divorced",104470,1,18,"0",6,3,6,1,4,"High","Medium","Bad","High","Excellent",7.59
"22",50,"Stayed","Travel-Rarely","Sales",8,"Master","Life Sciences","Male","1","Research Scientist","Divorced",96670,3,23,"0",28,2,10,1,6,"Low","Medium","Good","Medium","Outstanding",6.01
"23",53,"Stayed","Travel-Rarely","Research & Development",11,"Master","Life Sciences","Female","2","Research Scientist","Married",21480,3,11,"0",21,2,5,1,3,"High","High","Good","High","Excellent",8.4
"24",42,"Stayed","Travel-Rarely","Research & Development",4,"Master","Life Sciences","Male","1","Manufacturing Director","Married",89260,1,14,"0",10,4,20,11,6,"Medium","High","Better","Low","Excellent",6.81
"25",29,"Stayed","Travel-Frequently","Research & Development",16,"Master","Medical","Male","1","Laboratory Technician","Single",65130,1,11,"1",10,2,10,0,9,"Medium","Very High","Good","High","Excellent",7.09
"26",55,"Stayed","Travel-Rarely","Research & Development",1,"Master","Other","Female","1","Research Scientist","Married",67990,3,11,"0",12,2,10,0,8,"Medium","Very High","Better","High","Excellent",9.36
"27",26,"Stayed","Travel-Frequently","Research & Development",9,"Bachelor","Life Sciences","Female","1","Manager","Married",162910,1,22,"0",5,3,5,3,3,"Low","Low","Better","High","Outstanding",10.98
"28",37,"Stayed","Travel-Rarely","Sales",5,"Below College","Marketing","Male","1","Research Scientist","Single",27050,1,11,"0",17,2,17,5,7,"Very High","Very High","Better","High","Excellent",7.6
"29",44,"Left","Travel-Frequently","Research & Development",1,"College","Medical","Male","2","Research Scientist","Divorced",103330,3,14,"1",19,2,1,0,0,"Very High","High","Bad","Medium","Excellent",10.98
"30",38,"Stayed","Travel-Rarely","Sales",2,"Bachelor","Marketing","Female","1","Manager","Divorced",44480,9,12,"0",10,3,2,1,2,"Very High","Very High","Better","Medium","Excellent",6.83
"31",26,"Left","Travel-Rarely","Research & Development",4,"Bachelor","Medical","Male","3","Research Scientist","Divorced",68540,2,11,"0",5,5,3,0,2,"Low","Medium","Better","Medium","Excellent",10.11
"32",28,"Stayed","Travel-Rarely","Research & Development",7,"Bachelor","Other","Male","1","Human Resources","Single",96370,1,13,"0",5,6,5,0,2,"Very High","Very High","Better","Medium","Excellent",6.71
"33",49,"Stayed","Travel-Frequently","Research & Development",1,"Below College","Medical","Female","2","Research Scientist","Single",35910,9,13,"0",22,2,3,1,2,"High","Low","Better","High","Excellent",10.52
"34",36,"Stayed","Travel-Rarely","Sales",5,"Bachelor","Technical Degree","Male","3","Sales Executive","Single",54050,4,14,"0",10,2,8,7,7,"High","Medium","Better","High","Excellent",6.18
"35",31,"Stayed","Travel-Frequently","Research & Development",9,"Master","Medical","Male","1","Sales Executive","Divorced",46840,1,16,"1",2,4,2,2,2,"Very High","Medium","Good","High","Excellent",6.59
"36",26,"Left","Travel-Rarely","Research & Development",8,"Bachelor","Medical","Male","2","Manager","Single",157870,1,12,"2",8,5,8,7,4,"Very High","Very High","Better","High","Excellent",10.27
"37",37,"Stayed","Travel-Frequently","Sales",9,"Below College","Marketing","Male","1","Laboratory Technician","Married",15140,1,14,"0",4,3,4,1,2,"Medium","Very High","Good","High","Excellent",9.98
"38",42,"Stayed","Travel-Frequently","Sales",2,"College","Marketing","Male","3","Research Director","Married",29560,5,13,"0",23,2,20,4,8,"High","Medium","Best","High","Excellent",5.98
"39",18,"Left","Travel-Rarely","Research & Development",1,"Master","Life Sciences","Male","1","Sales Executive","Single",23350,1,14,"2",0,3,0,0,0,"High","High","Better","Medium","Excellent",6.78
"40",35,"Stayed","Travel-Rarely","Sales",20,"College","Life Sciences","Male","1","Laboratory Technician","Married",51540,0,19,"0",12,2,11,6,9,"High","Medium","Good","Medium","Excellent",7.69
"41",36,"Stayed","Travel-Frequently","Research & Development",8,"Bachelor","Other","Female","3","Sales Executive","Married",69620,4,12,"2",4,2,1,0,0,"High","N/A","Better","Medium","Excellent",7.2
"42",51,"Stayed","Travel-Rarely","Research & Development",2,"Bachelor","Life Sciences","Male","2","Laboratory Technician","Divorced",56750,5,13,"0",13,2,4,1,2,"Very High","Medium","Better","Medium","Excellent",7.59
"43",41,"Stayed","Travel-Rarely","Research & Development",29,"Below College","Life Sciences","Male","1","Laboratory Technician","Single",23790,1,12,"0",22,6,22,0,4,"Very High","Medium","Better","High","Excellent",6.95
"44",18,"Stayed","Travel-Rarely","Sales",7,"Bachelor","Life Sciences","Male","1","Research Scientist","Single",38120,1,15,"0",0,3,0,0,0,"Very High","High","Better","High","Excellent",7.01
"45",28,"Stayed","Travel-Rarely","Research & Development",9,"Bachelor","Medical","Male","1","Sales Representative","Single",46480,0,23,"2",9,2,8,0,7,"Medium","Low","Better","Medium","Outstanding",7.2
"46",31,"Stayed","Travel-Rarely","Research & Development",8,"Below College","Technical Degree","Male","1","Manufacturing Director","Married",29360,4,12,"1",10,2,8,7,7,"Medium","Very High","Good","High","Excellent",7.17
"47",39,"Stayed","Travel-Rarely","Sales",5,"Master","Marketing","Female","2","Human Resources","Divorced",21050,0,20,"0",19,3,18,3,7,"High","Very High","Good","High","Outstanding",7.64
"48",36,"Stayed","Non-Travel","Research & Development",5,"Master","Life Sciences","Male","1","Sales Executive","Married",85780,7,21,"0",11,4,9,0,8,"Medium","Medium","Better","High","Outstanding",7.83
"49",32,"Stayed","Travel-Rarely","Sales",2,"Bachelor","Marketing","Male","2","Laboratory Technician","Married",27060,1,21,"1",13,4,13,4,8,"Very High","High","Good","High","Outstanding",6.97
"50",38,"Stayed","Travel-Rarely","Research & Development",5,"College","Life Sciences","Female","3","Research Scientist","Married",63840,3,19,"2",19,4,10,0,1,"Low","Medium","Better","Medium","Excellent",6.91
